formatter|mcoll|sets|Matchbox Models of Yesteryear|Y
page|b:bgc,#663333|b:c,#FFFFFF|l:c,#6666FF|v:c,#FF6666
style|.table|bgc,#330033|c,#990000|bw,2px|p,1px|bsp,1px|bc,#FFFFFF
style|.cell,0,1,2|h,8px|ta,center|c,#FFFFFF|bc,#990000
style|.cell,3|bgc,#FFFF66|w,300px|c,#CC0000|bc,#990000|p,0
style|.cell,4|bgc,#FFFF66|va,top|c,#000000|bc,#990000
style|.hcell|ta,center|fw,bold|c,#FFFFFF|bc,#990000
cells|num|name|year|pic|insetdesc

field|num|No.
field|name|Model Name
field|year|Year
field|rank|&nbsp;
field|pic|Picture
data|m|year,num,rank,name

table|Y|year,num,rank,name|<img src="../gfx/moy.gif">|2|moy

m|1956| 1|A|1925 Allchin Traction Engine
d|green body
d|copper, gold or silver boiler door

m|1964| 1|B|1911 Ford Model T
d|red body, black seats and roof
d|cream body, red chassis, maroon or black roof, red seats
d|white body red chassis, red roof and seats

m|1977| 1|C|1936 Jaguar SS
d|cream body, black seats
d|silver-blue body, black seats
d|dark green body, black seats
d|light yellow body, black seats
d|dark yellow body, black seats
d|red body, black seats

m|1956| 2|A|1911 "B" Type Bus
d|red body, blue or black driver
d|4 over 4 side windows or 8 over 4 side windows

m|1963| 2|B|1911 Renault Two Seater
d|green body, brass fixtures
d|green body, unpainted fixtures
d|green body, silver fixtures

m|1970| 2|C|1914 Prince Henry Vauxhall
d|red body, silver hood, white seats
d|dark red body, silver hood, white seats
d|blue body, silver hood, white seats
d|blue body, silver hood, red seats

m|1985| 2|D|1930 Bentley 2 1/2 Litre
d|dark green body, reddish brown interior, door flag
d|dark blue body, black interior, door flag
d|purple body, brown interior

m|1956| 3|A|1907 London "E" Class Tram Car
d|red body, cream roof, "Dewars" labels
d|red body, cream roof, "News of the World" labels
d|red body, white roof, "News of the World" labels

m|1966| 3|B|1910 Benz Limousine
d|cream body, green roof, seats and grille
d|cream body, green roof, red seats and grille
d|cream body, chartreuse roof, green seats and grille
d|light green body, green roof, seats and grille
d|light green body, chartreuse roof, red seats and grille
d|light green body, chartreuse roof, red seats, green grille
d|light green body, chartreuse roof, red seats, black grille
d|light green body, black roof, red seats and grille
d|light green body, black roof, red seats, green grille
d|dark green body, chartreuse roof, red seats and grille
d|dark green body, chartreuse roof, red seats, green grille
d|dark green body, black roof, red seats and grille
d|dark green body, black roof, red seats, green grille

m|1974| 3|C|1934 Riley MPH
d|purple body, white seats and radiator
d|purple-red body, white seats and radiator
d|dark red body, white seats and radiator
d|light red body, white seats and radiator
d|red body and silver chassis, black seats and radiator
d|blue body, white seats and radiator, "6" labels
d|blue body, white seats and radiator, "9" labels
d|blue body, white seats and radiator, "3" labels
d|blue body, white seats and radiator, "5" labels

m|1981| 3|D|Model T Ford Tanker
d|dark green body, black chassis, red tank, white roof, "BP"
d|green body and tank, black chassis, white roof, "Zerolene"
d|blue body and tank, black chassis, white roof, "Express Dairy"
d|cream body, maroon chassis and tank, white roof, "Carnation"
d|blue and red body, black chassis, blue tank and roof, "Mobiloil"
d|dark green body and tank, black chassis, white roof, "Castrol"
d|dark green body and tank, brown chassis, white roof, "Castrol"
d|yellow blody and tank, black chassis, white roof, "Shell"
d|white body, tank and roof, black chassis, "Haines"
d|white body and tank, black chassis, blue roof, "Haines"

m|1985| 3|E|1912 Model T Tanker
